point_hour,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
408__17,220,7.331804663064401,1.8463604271372398,10.03948768102913,5.783489639938468,13.584815082624178,tail_30m,0.022727272727272728
408__17,220,7.331804663064401,1.8463604271372398,10.03948768102913,5.783489639938468,13.584815082624178,tail_45m,0.0
408__14,250,7.9314702577018785,2.2290887980092724,13.641432388957043,5.918941197503866,13.460226261547213,tail_30m,0.024
408__14,250,7.9314702577018785,2.2290887980092724,13.641432388957043,5.918941197503866,13.460226261547213,tail_45m,0.016
252__14,324,7.990864902517286,-3.444929403070303,9.64373053992809,7.544358733648226,13.45778892168293,tail_30m,0.0
252__14,324,7.990864902517286,-3.444929403070303,9.64373053992809,7.544358733648226,13.45778892168293,tail_45m,0.0
97__9,322,6.149527960841002,0.4528177965981748,9.121020238664974,4.245389199658325,13.43886161661851,tail_30m,0.021739130434782608
97__9,322,6.149527960841002,0.4528177965981748,9.121020238664974,4.245389199658325,13.43886161661851,tail_45m,0.003105590062111801
383__12,200,7.353336990860737,-3.793356141369644,12.964947471480988,6.0672015659989444,13.362220124156602,tail_30m,0.005
383__12,200,7.353336990860737,-3.793356141369644,12.964947471480988,6.0672015659989444,13.362220124156602,tail_45m,0.005
97__10,269,6.461637261663518,0.7844767651073352,9.023075053478081,5.07988885568226,13.081468362301388,tail_30m,0.011152416356877323
97__10,269,6.461637261663518,0.7844767651073352,9.023075053478081,5.07988885568226,13.081468362301388,tail_45m,0.0037174721189591076
640__6,240,6.419782895924268,1.847969666584753,8.7537919585663,5.16525050287793,12.976266670189242,tail_30m,0.008333333333333333
640__6,240,6.419782895924268,1.847969666584753,8.7537919585663,5.16525050287793,12.976266670189242,tail_45m,0.0
640__8,230,6.653560582326296,0.698054637674601,10.89216309275326,5.122721486926832,12.919909818137288,tail_30m,0.008695652173913044
640__8,230,6.653560582326296,0.698054637674601,10.89216309275326,5.122721486926832,12.919909818137288,tail_45m,0.004347826086956522
411__9,275,6.877807299785947,-5.348184483640526,8.148629289191458,6.3434554441582165,12.827674397471728,tail_30m,0.0
411__9,275,6.877807299785947,-5.348184483640526,8.148629289191458,6.3434554441582165,12.827674397471728,tail_45m,0.0
496__14,239,6.589277391939833,-0.9024279475087833,8.701400515819559,5.405599049304623,12.39838606933193,tail_30m,0.016736401673640166
496__14,239,6.589277391939833,-0.9024279475087833,8.701400515819559,5.405599049304623,12.39838606933193,tail_45m,0.0
252__15,279,6.9398055927847135,-4.054976069247467,8.39730325447175,6.39782080812045,12.27816627104511,tail_30m,0.0
252__15,279,6.9398055927847135,-4.054976069247467,8.39730325447175,6.39782080812045,12.27816627104511,tail_45m,0.0
496__13,265,6.021014851435853,1.3804853167487479,8.128835254300034,4.849908631148807,12.230853133768823,tail_30m,0.007547169811320755
496__13,265,6.021014851435853,1.3804853167487479,8.128835254300034,4.849908631148807,12.230853133768823,tail_45m,0.0
420__14,204,6.4506042370974805,-2.5466324665932154,7.987270818315926,5.984634157205376,12.071468344896026,tail_30m,0.0
420__14,204,6.4506042370974805,-2.5466324665932154,7.987270818315926,5.984634157205376,12.071468344896026,tail_45m,0.0
330__15,213,5.9858928434797125,-2.0276114152869136,7.326445495809008,5.480513828564678,12.059864628623274,tail_30m,0.0
330__15,213,5.9858928434797125,-2.0276114152869136,7.326445495809008,5.480513828564678,12.059864628623274,tail_45m,0.0
330__14,208,6.782726249060176,-4.067171230218447,8.120433092011044,6.582486288567836,12.019986298500712,tail_30m,0.0
330__14,208,6.782726249060176,-4.067171230218447,8.120433092011044,6.582486288567836,12.019986298500712,tail_45m,0.0
401__13,218,7.364556325592117,-0.4001048319196202,11.065368804248537,5.740982804876195,11.852889437469095,tail_30m,0.03211009174311927
401__13,218,7.364556325592117,-0.4001048319196202,11.065368804248537,5.740982804876195,11.852889437469095,tail_45m,0.009174311926605505
582__15,203,5.468025051142575,1.4353998179798368,7.346814758381526,4.160508807329485,11.826151821490134,tail_30m,0.0
582__15,203,5.468025051142575,1.4353998179798368,7.346814758381526,4.160508807329485,11.826151821490134,tail_45m,0.0
571__14,214,6.255131904267296,-1.2494718238748297,7.79848844682775,5.801537036335953,11.635876223850978,tail_30m,0.0
571__14,214,6.255131904267296,-1.2494718238748297,7.79848844682775,5.801537036335953,11.635876223850978,tail_45m,0.0
252__13,322,6.503973881592607,-4.687456103186917,7.502066567292594,6.335284118361741,11.598552190421515,tail_30m,0.0
252__13,322,6.503973881592607,-4.687456103186917,7.502066567292594,6.335284118361741,11.598552190421515,tail_45m,0.0
277__14,217,5.324122247486671,2.9578308541385216,7.290303982698151,4.018312896329872,11.464258116486779,tail_30m,0.004608294930875576
277__14,217,5.324122247486671,2.9578308541385216,7.290303982698151,4.018312896329872,11.464258116486779,tail_45m,0.0
40__15,377,6.372125830886586,1.3181457084077686,11.045227769999936,4.132947362550379,11.3537307790809,tail_30m,0.03183023872679045
40__15,377,6.372125830886586,1.3181457084077686,11.045227769999936,4.132947362550379,11.3537307790809,tail_45m,0.01856763925729443
62__13,207,5.732253660337693,1.1701379017753986,7.241193272707177,4.948606656069735,11.31299155717826,tail_30m,0.004830917874396135
62__13,207,5.732253660337693,1.1701379017753986,7.241193272707177,4.948606656069735,11.31299155717826,tail_45m,0.0
40__14,351,6.0555624762683395,1.7398708426951799,9.091548333726898,4.712529633645218,10.938153005300933,tail_30m,0.022792022792022793
40__14,351,6.0555624762683395,1.7398708426951799,9.091548333726898,4.712529633645218,10.938153005300933,tail_45m,0.002849002849002849
270__16,212,5.667143175519549,-3.8391096340450184,6.820139689986382,4.877865134490687,10.805420097295704,tail_30m,0.0
270__16,212,5.667143175519549,-3.8391096340450184,6.820139689986382,4.877865134490687,10.805420097295704,tail_45m,0.0
97__7,225,5.248755395256137,1.948826688293688,6.996905355495041,4.232563139175344,10.780558693959573,tail_30m,0.0
97__7,225,5.248755395256137,1.948826688293688,6.996905355495041,4.232563139175344,10.780558693959573,tail_45m,0.0
270__17,203,5.6206550308128165,-1.6982209534592443,6.833000654953699,5.110072478312031,10.766804822957237,tail_30m,0.0
270__17,203,5.6206550308128165,-1.6982209534592443,6.833000654953699,5.110072478312031,10.766804822957237,tail_45m,0.0
270__15,209,5.576372519148517,-2.7897236318769307,6.745174627615758,5.161796127054224,10.747898031502922,tail_30m,0.0
270__15,209,5.576372519148517,-2.7897236318769307,6.745174627615758,5.161796127054224,10.747898031502922,tail_45m,0.0
270__14,205,5.907762079309816,-1.4843777483086424,7.329048611526694,5.230516059185959,10.674969801131764,tail_30m,0.0
270__14,205,5.907762079309816,-1.4843777483086424,7.329048611526694,5.230516059185959,10.674969801131764,tail_45m,0.0
286__14,213,5.134641564235993,0.3350045911374853,6.776167798677978,4.133121961579114,10.57167257584993,tail_30m,0.004694835680751174
286__14,213,5.134641564235993,0.3350045911374853,6.776167798677978,4.133121961579114,10.57167257584993,tail_45m,0.0
252__16,251,5.931986023514085,-4.189799547617542,6.869445527587044,5.431004870719558,10.525724525247856,tail_30m,0.0
252__16,251,5.931986023514085,-4.189799547617542,6.869445527587044,5.431004870719558,10.525724525247856,tail_45m,0.0
512__13,219,5.028425562182699,2.303855861549903,7.292298059929504,3.6528867794945903,10.513163787730978,tail_30m,0.0091324200913242
512__13,219,5.028425562182699,2.303855861549903,7.292298059929504,3.6528867794945903,10.513163787730978,tail_45m,0.0
338__15,219,5.731746570584882,0.648829325179381,8.296630569665432,4.366535417123975,10.455920646332261,tail_30m,0.0182648401826484
338__15,219,5.731746570584882,0.648829325179381,8.296630569665432,4.366535417123975,10.455920646332261,tail_45m,0.0
330__13,231,5.457820617231683,-2.3132172237387763,6.647266493601823,4.540987153386265,10.448432154286685,tail_30m,0.0
330__13,231,5.457820617231683,-2.3132172237387763,6.647266493601823,4.540987153386265,10.448432154286685,tail_45m,0.0
411__8,261,5.4877998609143654,-3.0035715978663533,6.543408850360469,5.13114780420408,10.237916412285383,tail_30m,0.0
411__8,261,5.4877998609143654,-3.0035715978663533,6.543408850360469,5.13114780420408,10.237916412285383,tail_45m,0.0
401__15,207,5.850916150024123,-1.1749060710597998,8.421244515782405,4.833532386988239,10.227932262403302,tail_30m,0.00966183574879227
401__15,207,5.850916150024123,-1.1749060710597998,8.421244515782405,4.833532386988239,10.227932262403302,tail_45m,0.00966183574879227
611__15,217,5.244634814230209,-3.0401132874277796,6.331633105742014,4.848910261250964,10.18973495943076,tail_30m,0.0
611__15,217,5.244634814230209,-3.0401132874277796,6.331633105742014,4.848910261250964,10.18973495943076,tail_45m,0.0
611__16,206,5.464861088809578,-3.278411340594519,6.57664587911434,4.936360586091952,10.174665480741664,tail_30m,0.0
611__16,206,5.464861088809578,-3.278411340594519,6.57664587911434,4.936360586091952,10.174665480741664,tail_45m,0.0
